Sample_Name,Condition_Group,Category,File_Type,Relative_Path,MD5_Checksum,Git_Commit_Hash,Pushed_To_Remote
FETAL_brain_IND1_EC,FETAL_brain,sorted,Web_Summary,data_cellranger/FETAL_brain/sorted/FETAL_brain_IND1_EC/outs/web_summary.html,26f858146ad8abeaf67e9a8be3714261,6796e791e33d9216cda83022c61289dc144f4e48,2026-03-12 23:52:11
FETAL_brain_IND2_IND3_EC,FETAL_brain,sorted,Web_Summary,data_cellranger/FETAL_brain/sorted/FETAL_brain_IND2_IND3_EC/outs/web_summary.html,783a581173660c6fe6b1302d4f2d8a97,a35ad2455c5b34e8bc555868f3908c15064fb92f,2026-03-12 23:56:01
FETAL_brain_IND4_EC,FETAL_brain,sorted,Web_Summary,data_cellranger/FETAL_brain/sorted/FETAL_brain_IND4_EC/outs/web_summary.html,9e64f39ee4697aa959be5d8403241889,a35ad2455c5b34e8bc555868f3908c15064fb92f,2026-03-12 23:56:01
FETAL_periphery_IND4_EC,FETAL_periphery,sorted,Web_Summary,data_cellranger/FETAL_periphery/sorted/FETAL_periphery_IND4_EC/outs/web_summary.html,0f5af348ce42b391d4fe4bbb252fdd14,a35ad2455c5b34e8bc555868f3908c15064fb92f,2026-03-12 23:56:01
FETAL_brain_IND5_EC,FETAL_brain,sorted,Web_Summary,data_cellranger/FETAL_brain/sorted/FETAL_brain_IND5_EC/outs/web_summary.html,7aef405038f84c68f6bebc2dc5a5a2f8,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
FETAL_brain_4_all_cells,FETAL_brain,unsorted,Web_Summary,data_cellranger/FETAL_brain/unsorted/FETAL_brain_4_all_cells/outs/web_summary.html,077cc57cf6b08deb42365015d8936a21,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
FETAL_brain_5_all_cells,FETAL_brain,unsorted,Web_Summary,data_cellranger/FETAL_brain/unsorted/FETAL_brain_5_all_cells/outs/web_summary.html,27668a7e7778ca684fca8996d2bea49e,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
FETAL_brain_6_all_cells,FETAL_brain,unsorted,Web_Summary,data_cellranger/FETAL_brain/unsorted/FETAL_brain_6_all_cells/outs/web_summary.html,fa85e4505bb797a621b8c0f6e6db22b6,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
FETAL_brain_8_all_cells,FETAL_brain,unsorted,Web_Summary,data_cellranger/FETAL_brain/unsorted/FETAL_brain_8_all_cells/outs/web_summary.html,074ac90f731745718f62aced56abdbbf,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
FETAL_periphery_IND2_EC,FETAL_periphery,sorted,Web_Summary,data_cellranger/FETAL_periphery/sorted/FETAL_periphery_IND2_EC/outs/web_summary.html,03688eb1ff21d090d143df883a6c3f6f,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
FETAL_periphery_IND3_EC,FETAL_periphery,sorted,Web_Summary,data_cellranger/FETAL_periphery/sorted/FETAL_periphery_IND3_EC/outs/web_summary.html,5a3a3392db20a83be5487f16dd29e687,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
FETAL_periphery_IND5_EC,FETAL_periphery,sorted,Web_Summary,data_cellranger/FETAL_periphery/sorted/FETAL_periphery_IND5_EC/outs/web_summary.html,b152cb60498a88b55833b545a55e9ac6,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
FETAL_periphery_IND6_EC,FETAL_periphery,sorted,Web_Summary,data_cellranger/FETAL_periphery/sorted/FETAL_periphery_IND6_EC/outs/web_summary.html,60c6fb0a6154c35f48ac9719ab25c802,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
TL_patient10_EC_1,TL,sorted,Web_Summary,data_cellranger/TL/sorted/TL_patient10_EC_1/outs/web_summary.html,b79d8016306e72a52f551bb9841e94a9,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
TL_patient10_EC_2,TL,sorted,Web_Summary,data_cellranger/TL/sorted/TL_patient10_EC_2/outs/web_summary.html,e81517248213fcbfb36eba4b2f458951,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
TL_patient3_EC,TL,sorted,Web_Summary,data_cellranger/TL/sorted/TL_patient3_EC/outs/web_summary.html,9e3480e96d8ec4a4204bbd6a1a0773ca,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
TL_patient4_EC,TL,sorted,Web_Summary,data_cellranger/TL/sorted/TL_patient4_EC/outs/web_summary.html,c14e2e2c1f74ad691201ce4cc5bcb3a7,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
TL_patient5_EC,TL,sorted,Web_Summary,data_cellranger/TL/sorted/TL_patient5_EC/outs/web_summary.html,77655518b59c46eef730521625fda577,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
TL_patient6_EC,TL,sorted,Web_Summary,data_cellranger/TL/sorted/TL_patient6_EC/outs/web_summary.html,92d85c84ade30c7161f48e6846479b0f,d39a604efd430ba11c6598c9777b76aeb4359c7d,2026-03-13 15:21:57
