SRR_ID,Experiment_Name,Condition_Group,Category,Sample_Name,DL_Status,DL_JobID,Fastq_Dir,CR_Status,CR_JobID,CR_Out_Dir,Split_Count,Is_Duplicate,Scanpy_Status,Scanpy_JobID,Scanpy_Out_Dir
SRR17720186,FETAL_brain_IND1_EC,FETAL_brain,sorted,FETAL_brain_IND1_EC,COMPLETED,144402,/home/gahe00001/natpro/data_fastqs/FETAL_brain/sorted/FETAL_brain_IND1_EC,COMPLETED,144774,/home/gahe00001/natpro/data_cellranger/FETAL_brain/sorted/FETAL_brain_IND1_EC,,,SUBMITTED,144939,/home/gahe00001/natpro/data_scanpy/FETAL_brain/sorted/FETAL_brain_IND1_EC
SRR17720184,FETAL_brain_IND2_IND3_EC,FETAL_brain,sorted,FETAL_brain_IND2_IND3_EC,COMPLETED,144403,/home/gahe00001/natpro/data_fastqs/FETAL_brain/sorted/FETAL_brain_IND2_IND3_EC,COMPLETED,144775,/home/gahe00001/natpro/data_cellranger/FETAL_brain/sorted/FETAL_brain_IND2_IND3_EC,,,SUBMITTED,144940,/home/gahe00001/natpro/data_scanpy/FETAL_brain/sorted/FETAL_brain_IND2_IND3_EC
SRR17720199,FETAL_brain_IND4_EC,FETAL_brain,sorted,FETAL_brain_IND4_EC,COMPLETED,144404,/home/gahe00001/natpro/data_fastqs/FETAL_brain/sorted/FETAL_brain_IND4_EC,COMPLETED,144776,/home/gahe00001/natpro/data_cellranger/FETAL_brain/sorted/FETAL_brain_IND4_EC,,,PENDING,PENDING,PENDING
SRR17720198,FETAL_brain_IND5_EC,FETAL_brain,sorted,FETAL_brain_IND5_EC,COMPLETED,144405,/home/gahe00001/natpro/data_fastqs/FETAL_brain/sorted/FETAL_brain_IND5_EC,COMPLETED,144777,/home/gahe00001/natpro/data_cellranger/FETAL_brain/sorted/FETAL_brain_IND5_EC,,,PENDING,PENDING,PENDING
SRR17720222,FETAL_brain_1_all_cells,FETAL_brain,unsorted,FETAL_brain_1_all_cells,COMPLETED,144634,/home/gahe00001/natpro/data_fastqs/FETAL_brain/unsorted/FETAL_brain_1_all_cells,RUNNING_CR_RUNNING,144896,,3,,PENDING,PENDING,PENDING
SRR17720221,FETAL_brain_2_all_cells,FETAL_brain,unsorted,FETAL_brain_2_all_cells,COMPLETED,144820,/home/gahe00001/natpro/data_fastqs/FETAL_brain/unsorted/FETAL_brain_2_all_cells,RUNNING_CR_RUNNING,144897,,3,,PENDING,PENDING,PENDING
SRR17720220,FETAL_brain_3_all_cells,FETAL_brain,unsorted,FETAL_brain_3_all_cells,COMPLETED,144635,/home/gahe00001/natpro/data_fastqs/FETAL_brain/unsorted/FETAL_brain_3_all_cells,RUNNING_CR_RUNNING,144898,,3,,PENDING,PENDING,PENDING
SRR17720218,FETAL_brain_4_all_cells,FETAL_brain,unsorted,FETAL_brain_4_all_cells,COMPLETED,144636,/home/gahe00001/natpro/data_fastqs/FETAL_brain/unsorted/FETAL_brain_4_all_cells,COMPLETED,144899,/home/gahe00001/natpro/data_cellranger/FETAL_brain/unsorted/FETAL_brain_4_all_cells,4,,PENDING,PENDING,PENDING
SRR17720217,FETAL_brain_5_all_cells,FETAL_brain,unsorted,FETAL_brain_5_all_cells,COMPLETED,144637,/home/gahe00001/natpro/data_fastqs/FETAL_brain/unsorted/FETAL_brain_5_all_cells,COMPLETED,144900,/home/gahe00001/natpro/data_cellranger/FETAL_brain/unsorted/FETAL_brain_5_all_cells,4,,PENDING,PENDING,PENDING
SRR28072449,FETAL_brain_6_all_cells,FETAL_brain,unsorted,FETAL_brain_6_all_cells,COMPLETED,144754,/home/gahe00001/natpro/data_fastqs/FETAL_brain/unsorted/FETAL_brain_6_all_cells,COMPLETED,144901,/home/gahe00001/natpro/data_cellranger/FETAL_brain/unsorted/FETAL_brain_6_all_cells,4,,PENDING,PENDING,PENDING
SRR28072450,FETAL_brain_6_all_cells,FETAL_brain,unsorted,FETAL_brain_6_all_cells,COMPLETED,,,PENDING,,,,duplicate,PENDING,PENDING,PENDING
SRR28072447,FETAL_brain_8_all_cells,FETAL_brain,unsorted,FETAL_brain_8_all_cells,COMPLETED,144638,/home/gahe00001/natpro/data_fastqs/FETAL_brain/unsorted/FETAL_brain_8_all_cells,COMPLETED,144902,/home/gahe00001/natpro/data_cellranger/FETAL_brain/unsorted/FETAL_brain_8_all_cells,4,,PENDING,PENDING,PENDING
SRR28072448,FETAL_brain_8_all_cells,FETAL_brain,unsorted,FETAL_brain_8_all_cells,COMPLETED,,,PENDING,,,,duplicate,PENDING,PENDING,PENDING
SRR17720224,FETAL_periphery_IND2_EC,FETAL_periphery,sorted,FETAL_periphery_IND2_EC,COMPLETED,144415,/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND2_EC,COMPLETED,144778,/home/gahe00001/natpro/data_cellranger/FETAL_periphery/sorted/FETAL_periphery_IND2_EC,,,PENDING,PENDING,PENDING
SRR17720200,FETAL_periphery_IND3_EC,FETAL_periphery,sorted,FETAL_periphery_IND3_EC,COMPLETED,144475,/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND3_EC,COMPLETED,144779,/home/gahe00001/natpro/data_cellranger/FETAL_periphery/sorted/FETAL_periphery_IND3_EC,3,,PENDING,PENDING,PENDING
SRR17720188,FETAL_periphery_IND4_EC,FETAL_periphery,sorted,FETAL_periphery_IND4_EC,COMPLETED,144476,/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND4_EC,COMPLETED,144780,/home/gahe00001/natpro/data_cellranger/FETAL_periphery/sorted/FETAL_periphery_IND4_EC,4,,PENDING,PENDING,PENDING
SRR17720151,FETAL_periphery_IND5.1_EC,FETAL_periphery,sorted,FETAL_periphery_IND5.1_EC,COMPLETED,144477,/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND5.1_EC,RUNNING_CR_RUNNING,144781,,4,,PENDING,PENDING,PENDING
SRR17720219,FETAL_periphery_IND5.2_EC,FETAL_periphery,sorted,FETAL_periphery_IND5.2_EC,COMPLETED,144478,/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND5.2_EC,RUNNING_CR_RUNNING,144785,,4,,PENDING,PENDING,PENDING
SRR17720208,FETAL_periphery_IND5.3_EC,FETAL_periphery,sorted,FETAL_periphery_IND5.3_EC,COMPLETED,144479,/home/gahe00001/natpro/data_fastqs/FETAL_periphery/sorted/FETAL_periphery_IND5.3_EC,RUNNING_CR_RUNNING,144786,,4,,PENDING,PENDING,PENDING
